2c7aee94936babf84b61b55420e503a0b2629ec1,89.12,68.13,0.00
2c7aee94936babf84b61b55420e503a0b2629ec1,89.07,68.15,0.00
2c7aee94936babf84b61b55420e503a0b2629ec1,88.88,68.22,0.00
2c7aee94936babf84b61b55420e503a0b2629ec1,88.26,67.90,0.00
2c7aee94936babf84b61b55420e503a0b2629ec1,88.41,67.83,0.00
84c33c0384aa4604ff7956f2fae6f83ea60ba96b,88.88,68.24,0.00
84c33c0384aa4604ff7956f2fae6f83ea60ba96b,89.07,68.20,0.00
84c33c0384aa4604ff7956f2fae6f83ea60ba96b,88.87,68.09,0.00
84c33c0384aa4604ff7956f2fae6f83ea60ba96b,88.71,68.15,0.00
84c33c0384aa4604ff7956f2fae6f83ea60ba96b,88.67,68.10,0.00
a7304ea4a7daede9789a8fe422b714e372737120,88.89,68.12,0.00
a7304ea4a7daede9789a8fe422b714e372737120,88.80,67.96,0.00
a7304ea4a7daede9789a8fe422b714e372737120,88.93,68.14,0.00
a7304ea4a7daede9789a8fe422b714e372737120,88.47,67.94,0.00
a7304ea4a7daede9789a8fe422b714e372737120,88.64,68.05,0.00
1780bba74075da5e7764615bd323e95e19057dee,88.47,67.89,0.00
1780bba74075da5e7764615bd323e95e19057dee,88.92,68.21,0.00
1780bba74075da5e7764615bd323e95e19057dee,88.95,68.24,0.00
1780bba74075da5e7764615bd323e95e19057dee,88.94,68.26,0.00
1780bba74075da5e7764615bd323e95e19057dee,88.82,68.18,0.00
7d73ff7a9d8eab6270f0b1ff7d10c0aa6f5ba53f,89.02,68.16,0.00
7d73ff7a9d8eab6270f0b1ff7d10c0aa6f5ba53f,89.41,68.40,0.00
7d73ff7a9d8eab6270f0b1ff7d10c0aa6f5ba53f,89.58,68.48,0.00
7d73ff7a9d8eab6270f0b1ff7d10c0aa6f5ba53f,89.79,68.66,0.00
7d73ff7a9d8eab6270f0b1ff7d10c0aa6f5ba53f,89.98,68.59,0.00
999ce263718a52ba74245c3e2a416ab11494d1b1,88.94,68.11,0.00
999ce263718a52ba74245c3e2a416ab11494d1b1,89.14,68.32,0.00
999ce263718a52ba74245c3e2a416ab11494d1b1,88.85,68.08,0.00
999ce263718a52ba74245c3e2a416ab11494d1b1,89.34,68.58,0.00
999ce263718a52ba74245c3e2a416ab11494d1b1,88.56,68.04,0.00
4d7e7c9d94f7a5ad4931a5bbd6ed9d00173fa1ab,88.69,68.06,0.00
4d7e7c9d94f7a5ad4931a5bbd6ed9d00173fa1ab,88.50,67.97,0.00
4d7e7c9d94f7a5ad4931a5bbd6ed9d00173fa1ab,88.66,68.10,0.00
4d7e7c9d94f7a5ad4931a5bbd6ed9d00173fa1ab,88.68,68.09,0.00
4d7e7c9d94f7a5ad4931a5bbd6ed9d00173fa1ab,88.75,68.14,0.00
cdae0df31e4c2dfb1e885941cd1998e5a2b6e39d,88.62,67.99,0.00
cdae0df31e4c2dfb1e885941cd1998e5a2b6e39d,88.79,68.12,0.00
