5e456a29857bd768e3a2a28d3c88910ee060b67f,346.04
4ea709ea78e4456d0353f446fec0b42931a8ebb8,379.89
52a4f4fdec206ee141adef645da78995f19d52c6,347.75
288101b658f36501429a1724a1fba87fbeb15933,323.77
9f9ef3bbb96c52bf9a8b3d1bb6f99ef5384665a8,338.59
36d0aca8635ce25db6944d084649b616c1b9c2f3,325.38
e16dc35875844725e7bacffb2cf81aec1d378a2f,323.22
f456f717e419ff1c5faba9ca70f99c4e6bd81a4c,332.38
eb8692b2b45be2b3661bcf224f1ee9ffb2b66c79,319.21
b7db651f9d81059e72dda022b139611c7353e050,322.82
28f6d427b12093512f247db73bc7a744dde0823d,324.50
abc7d0247a652b2ae5c8cd2300dd8077bc1892ab,329.78
5e456a29857bd768e3a2a28d3c88910ee060b67f,324.67
84e3baef7175ff12dd372846020e57e110631fcc,314.94
cc2582dbd04f0a23ee2032f9378a1fdd5577f429,319.61
06d84fa43784e18c1f5838d70e00eb7f3aba59ec,317.84
0f6e80e0777aa8c3c10027913c6af0b2b5b2109a,318.88
bf63c2c208a2331bf40db36a75e6ca0d514021b0,319.21
f261dfe27b499b9ccb5c7c0137893f1b18feb937,324.50
dc21da62e87966e3e561e91f33873ce53806ee5b,318.42
162cbbf2812b36f366f9564ab91ab0ece2acd3e7,321.60
1f3f425058811911fb0470119736a83ef6d76d3e,349.74
c89c9af7bf2c1dd63c588890864b1c06c2c78007,345.02
4183385e6b459614f8daca863c65cb559c0f0c7c,330.08
5735e0871e336b412b446680eea803caf9f68bc1,312.14
b84569be194af228c47ffa3857eb38c5faa4e4d2,301.87
abc7d0247a652b2ae5c8cd2300dd8077bc1892ab,323.03
48198ee4531c23d4fc44a80492ec7301f96a476d,302.55
8c69eb0419adf8cf6496a7e11ffcf6265cebcbe2,301.22
29d463b5e47f497406c04a4049a12e3d31597855,309.40
b2efecee27a3ddb96553e07b2b5161691a65452a,331.76
f456f717e419ff1c5faba9ca70f99c4e6bd81a4c,297.53
dd4b30f49644848fcf4ed8d868d003545cd42401,302.89
171889848b86031512debbe9d704a816ebfc8d6d,302.82
8c4c03e364e72d4527cdc209818bef3886bca91d,303.95
ab1c8dab39e25048d53b236daab1f51da341b1b1,301.13
8c4c03e364e72d4527cdc209818bef3886bca91d,309.66
49d9c6bc382107d0e3b2ac5e8c0b4c5fecf2287d,299.08
eb8692b2b45be2b3661bcf224f1ee9ffb2b66c79,300.82
